driver	ladder	family	nodes	ranks	world	srcdir	rep	seconds	terms	terms_per_node	rss_sum_kb	rss_worst_kb	rss_ranks	gate
ab	strong_s5	strong	16	128	2048	ab-hubbard-296ft-strong-r10-N16	1	26.9230	3104527573	194032973	266464700	2160104	128	ok
ab	strong_s5	strong	16	128	2048	ab-hubbard-296ft-strong-r10-N16	2	27.0718	3104527573	194032973	266245964	2181392	128	ok
ab	strong_s5	strong	16	128	2048	ab-hubbard-296ft-strong-r10-N16	3	27.0544	3104527573	194032973	266241784	2175172	128	ok
ab	strong_s5	strong	16	128	2048	ab-hubbard-296ft-strong-r10-N16	4	31.5667	3104527573	194032973	266311352	2160016	128	ok
ab	strong_s5	strong	16	128	2048	ab-hubbard-296ft-strong-r10-N16	5	26.9860	3104527573	194032973	266352960	2163844	128	ok
ab	strong_s5	strong	16	128	2048	ab-hubbard-296ft-strong-r10-N16	6	26.9793	3104527573	194032973	266095524	2154168	128	ok
ab	strong_s5	strong	16	128	2048	ab-hubbard-296ft-strong-r10-N16	7	27.0291	3104527573	194032973	266265304	2156968	128	ok
ab	strong_s5	strong	16	128	2048	ab-hubbard-296ft-strong-r10-N16	8	26.9091	3104527573	194032973	266216908	2171508	128	ok
ab	strong_s5	strong	16	128	2048	ab-hubbard-296ft-strong-r10-N16	9	26.9008	3104527573	194032973	266302384	2182900	128	ok
ab	strong_s5	strong	16	128	2048	ab-hubbard-296ft-strong-r10-N16	10	26.8596	3104527573	194032973	266256176	2157308	128	ok
ab	strong_s5	strong	32	256	4096	ab-hubbard-296ft-strong-r10-N32	1	15.1474	3104527573	97016487	365911244	1485720	256	ok
ab	strong_s5	strong	32	256	4096	ab-hubbard-296ft-strong-r10-N32	2	19.9822	3104527573	97016487	365768032	1481396	256	ok
ab	strong_s5	strong	32	256	4096	ab-hubbard-296ft-strong-r10-N32	3	15.2389	3104527573	97016487	365906952	1489728	256	ok
ab	strong_s5	strong	32	256	4096	ab-hubbard-296ft-strong-r10-N32	4	15.1466	3104527573	97016487	365899564	1487668	256	ok
ab	strong_s5	strong	32	256	4096	ab-hubbard-296ft-strong-r10-N32	5	15.1640	3104527573	97016487	365926060	1488936	256	ok
ab	strong_s5	strong	32	256	4096	ab-hubbard-296ft-strong-r10-N32	6	15.4439	3104527573	97016487	365734264	1481652	256	ok
ab	strong_s5	strong	32	256	4096	ab-hubbard-296ft-strong-r10-N32	7	15.3218	3104527573	97016487	365848784	1485996	256	ok
ab	strong_s5	strong	32	256	4096	ab-hubbard-296ft-strong-r10-N32	8	15.2433	3104527573	97016487	365871836	1483768	256	ok
ab	strong_s5	strong	32	256	4096	ab-hubbard-296ft-strong-r10-N32	9	15.4656	3104527573	97016487	365991380	1485152	256	ok
ab	strong_s5	strong	32	256	4096	ab-hubbard-296ft-strong-r10-N32	10	15.2794	3104527573	97016487	366023436	1494180	256	ok
ab	strong_s5	strong	64	512	8192	ab-hubbard-296ft-strong-r10-N64	1	9.0880	3104527573	48508243	433157624	888264	512	ok
ab	strong_s5	strong	64	512	8192	ab-hubbard-296ft-strong-r10-N64	2	9.1790	3104527573	48508243	433020684	890456	512	ok
ab	strong_s5	strong	64	512	8192	ab-hubbard-296ft-strong-r10-N64	3	9.0787	3104527573	48508243	433087324	886760	512	ok
ab	strong_s5	strong	64	512	8192	ab-hubbard-296ft-strong-r10-N64	4	9.0522	3104527573	48508243	433137348	889068	512	ok
ab	strong_s5	strong	64	512	8192	ab-hubbard-296ft-strong-r10-N64	5	9.2091	3104527573	48508243	433339732	894580	512	ok
ab	strong_s5	strong	64	512	8192	ab-hubbard-296ft-strong-r10-N64	6	9.0776	3104527573	48508243	433312964	890248	512	ok
ab	strong_s5	strong	64	512	8192	ab-hubbard-296ft-strong-r10-N64	7	9.1488	3104527573	48508243	433253900	887184	512	ok
ab	strong_s5	strong	64	512	8192	ab-hubbard-296ft-strong-r10-N64	8	9.0996	3104527573	48508243	433124124	879580	512	ok
ab	strong_s5	strong	64	512	8192	ab-hubbard-296ft-strong-r10-N64	9	8.9722	3104527573	48508243	433080836	884836	512	ok
ab	strong_s5	strong	64	512	8192	ab-hubbard-296ft-strong-r10-N64	10	9.2031	3104527573	48508243	433034380	893436	512	ok
ab	strong_s5	strong	1	8	128	ab-hubbard-296ft-strong-r3-N1	1	427.7606	3104527573	3104527573	206078872	25799604	8	ok
ab	strong_s5	strong	1	8	128	ab-hubbard-296ft-strong-r3-N1	2	427.6512	3104527573	3104527573	206137992	25815076	8	ok
ab	strong_s5	strong	1	8	128	ab-hubbard-296ft-strong-r3-N1	3	437.3427	3104527573	3104527573	206056620	25785840	8	ok
ab	strong_s5	strong	2	16	256	ab-hubbard-296ft-strong-r3-N2	1	212.9288	3104527573	1552263786	209834208	13169004	16	ok
ab	strong_s5	strong	2	16	256	ab-hubbard-296ft-strong-r3-N2	2	217.4695	3104527573	1552263786	209835832	13171800	16	ok
ab	strong_s5	strong	2	16	256	ab-hubbard-296ft-strong-r3-N2	3	217.2277	3104527573	1552263786	209857028	13177180	16	ok
ab	strong_s5	strong	4	32	512	ab-hubbard-296ft-strong-r3-N4	1	105.3222	3104527573	776131893	215333512	6759500	32	ok
ab	strong_s5	strong	4	32	512	ab-hubbard-296ft-strong-r3-N4	2	104.8917	3104527573	776131893	215318248	6770040	32	ok
ab	strong_s5	strong	4	32	512	ab-hubbard-296ft-strong-r3-N4	3	105.0353	3104527573	776131893	215024636	6770604	32	ok
